Header,SubHeader,Brand,Documentation,Case,Price,Model,Condition,Year,Imgs
Rolex Submariner (No Date),14060M,Rolex,Sin documentos originales,Sin estuche original,7990 €,Submariner (No Date),"Usado (Bueno) El artículo presenta señales visibles y perceptibles de uso, como arañazos, rozaduras o pequeñas abolladuras.",2004 (Año aproximado),"['https://img.chrono24.com/images/uhren/35973403-lfcwt594cmbg5d6u0blygmv3-Zoom.jpg', 'https://img.chrono24.com/images/uhren/35973403-8jzd91vzwq086yzwytlc5dlj-Zoom.jpg', 'https://img.chrono24.com/images/uhren/35973403-pl8ob624k7fijdap50bo5ozj-Zoom.jpg', 'https://img.chrono24.com/images/uhren/35973403-fq69wgkkynp4gfdj0bv6ei6c-Zoom.jpg']"
Rolex Oyster Perpetual Lady Date,DATEJUST 1966 (circa) Ref. 6517 STEEL AND GOLD Vintage Swiss automatic watch Cal. 1161,Rolex,Sin documentos originales,Sin estuche original,2390 €,Oyster Perpetual Lady Date,"Usado (Bueno) El artículo presenta señales visibles y perceptibles de uso, como arañazos, rozaduras o pequeñas abolladuras.",1966,"['https://img.chrono24.com/images/uhren/37911854-lw1jaqj83x5ye2wby0269r35-Zoom.jpg', 'https://img.chrono24.com/images/uhren/37911854-tdcfbnkj8j3tyat52icxz75e-Zoom.jpg', 'https://img.chrono24.com/images/uhren/37911854-c48qybvnfdrwo8wpc0p8rcty-Zoom.jpg', 'https://img.chrono24.com/images/uhren/37911854-pbkwdtm33nef8uagovnffr89-Zoom.jpg', 'https://img.chrono24.com/images/uhren/37911854-4eqqrnw5bkqalc19aaxc4y0k-Zoom.jpg', 'https://img.chrono24.com/images/uhren/37911854-1hd4qhxys7prdt0f6a52tjw5-Zoom.jpg', 'https://img.chrono24.com/images/uhren/37911854-7jh2b3emos6y2rsd5xmncdpc-Zoom.jpg', 'https://img.chrono24.com/images/uhren/37911854-qi7ss8vk78xw43rl396dkiqm-Zoom.jpg', 'https://img.chrono24.com/images/uhren/37911854-084t9mnywdx7nmke0dnc70y5-Zoom.jpg', 'https://img.chrono24.com/images/uhren/37911854-k2wap8xffn2vcdedymaew24q-Zoom.jpg', 'https://img.chrono24.com/images/uhren/37911854-oax31fbt7k1kaasg9j9j3nmm-Zoom.jpg', 'https://img.chrono24.com/images/uhren/37911854-hyamjltpusdyxkcvpga4qmi1-Zoom.jpg', 'https://img.chrono24.com/images/uhren/37911854-dybobd8ygvwr4q420ybmc18b-Zoom.jpg', 'https://img.chrono24.com/images/uhren/37911854-zw62xpqxxbefdql6i5svqb07-Zoom.jpg', 'https://img.chrono24.com/images/uhren/37911854-a0drnsr9ol2hdeno8vt0ljak-Zoom.jpg', 'https://img.chrono24.com/images/uhren/37911854-dz3kibe2vk05qgbghr51pg9o-Zoom.jpg']"
Rolex Datejust Oysterquartz,Quartz Silver Dial,Rolex,Sin documentos originales,Con estuche original,5790 €,Datejust Oysterquartz,"Usado (Muy bueno) El artículo presenta ligeras señales de uso, como unos leves arañazos, pero no son perceptibles.",1990 (Año aproximado),"['https://img.chrono24.com/images/uhren/38657942-lux2rhtr017mgyzoxrlxx63x-Zoom.jpg', 'https://img.chrono24.com/images/uhren/38657942-s9srrlod2hiou1m7jtlwk7a9-Zoom.jpg', 'https://img.chrono24.com/images/uhren/38657942-qniv30tjh24v4ngnrultu131-Zoom.jpg', 'https://img.chrono24.com/images/uhren/38657942-sc31c3vywntn59m9wdn63wzz-Zoom.jpg', 'https://img.chrono24.com/images/uhren/38657942-uz71ktkabc6gk3xvtqaskuj6-Zoom.jpg', 'https://img.chrono24.com/images/uhren/38657942-rukxwlrz59ycw5cviso5g01j-Zoom.jpg', 'https://img.chrono24.com/images/uhren/38657942-336xk7lauxfmvj2gtz1rndz2-Zoom.jpg', 'https://img.chrono24.com/images/uhren/38657942-97lzj5gje8kr81vbyehxkwxm-Zoom.jpg', 'https://img.chrono24.com/images/uhren/38657942-bzbyv5bxge0nmz2n4ih9v8vb-Zoom.jpg', 'https://img.chrono24.com/images/uhren/38657942-cvxa8krkn54lczd8vggmp7lq-Zoom.jpg', 'https://img.chrono24.com/images/uhren/38657942-hj04t8icp07miy4t0756cm0q-Zoom.jpg', 'https://img.chrono24.com/images/uhren/38657942-sugqi8j85s97efkoulzqkvne-Zoom.jpg']"
Rolex Daytona,116520,Rolex,Sin documentos originales,Sin estuche original,16 800 €,Daytona,"Usado (Muy bueno) El artículo presenta ligeras señales de uso, como unos leves arañazos, pero no son perceptibles.",2010,"['https://img.chrono24.com/images/uhren/z9et7fbppxld-w2nmngwmogo5e03qt403mqp0-Zoom.jpg', 'https://img.chrono24.com/images/uhren/dedlq1ss5y54-uqqiyr4i35ihqo9fjsbn8edo-Zoom.jpg', 'https://img.chrono24.com/images/uhren/jkip409mecs4-bjqwmqxvfq795xh0xlliio3k-Zoom.jpg', 'https://img.chrono24.com/images/uhren/wa81k8lfrlqi-eytgpf1mz0mhsnq0gbo4hxu4-Zoom.jpg', 'https://img.chrono24.com/images/uhren/xff2qxtuvyn2-7x4rjc81toruz32dwo5nq9tl-Zoom.jpg', 'https://img.chrono24.com/images/uhren/t4221vqodygl-xmpievn0n2pl0slh1t0xnep1-Zoom.jpg', 'https://img.chrono24.com/images/uhren/wnuaj4dixcyg-j2ofzmjee3lo64brtz7obs7d-Zoom.jpg', 'https://img.chrono24.com/images/uhren/6h3rujlstth8-m3oss703b3nan47u5ywydc6h-Zoom.jpg', 'https://img.chrono24.com/images/uhren/rh7u8zs5f36n-7vdcpc6wcbh0nku21kg1tot4-Zoom.jpg', 'https://img.chrono24.com/images/uhren/5l30oum9z20x-rrm5plxhveke6shhj1qz85ke-Zoom.jpg', 'https://img.chrono24.com/images/uhren/y8cyomdpcsaj-fbutwahmrz4s8oi6chhcxl93-Zoom.jpg', 'https://img.chrono24.com/images/uhren/mmexkm22xyvf-akn2ooomp5m1k999fxgw07rb-Zoom.jpg', 'https://img.chrono24.com/images/uhren/s67iyspc7ufi-lype6vyd2mmkw8ev0l1qxaai-Zoom.jpg', 'https://img.chrono24.com/images/uhren/99ryjyorusan-b8gn759bwzh9g22k3mi0h7eg-Zoom.jpg']"
Rolex Oyster Perpetual Date,Vintage Excellent Condition New Service 2025 Oyster Perpetual Date,Rolex,Sin documentos originales,Sin estuche original,3500 €,Oyster Perpetual Date,"Usado (Muy bueno) El artículo presenta ligeras señales de uso, como unos leves arañazos, pero no son perceptibles.",1983,"['https://img.chrono24.com/images/uhren/39674828-ucoh4avunr9oy2yqldio47ym-Zoom.jpg', 'https://img.chrono24.com/images/uhren/39674828-67xoy1t8jjftspt6ivs07s6c-Zoom.jpg', 'https://img.chrono24.com/images/uhren/39674828-jpoi54ovtl4705uuulhqorpt-Zoom.jpg', 'https://img.chrono24.com/images/uhren/39674828-w79z3f1sapb5pc2gjtoo61rj-Zoom.jpg', 'https://img.chrono24.com/images/uhren/39674828-93tu1ecfe2e2cpc8sbq52j1c-Zoom.jpg', 'https://img.chrono24.com/images/uhren/39674828-nyxurdapr1d935f2nzvq0uz2-Zoom.jpg', 'https://img.chrono24.com/images/uhren/39674828-0g5p4ouqtyl5yr37dkxl6w72-Zoom.jpg', 'https://img.chrono24.com/images/uhren/39674828-y9tcu2tvjzg0m8uin5dliy97-Zoom.jpg', 'https://img.chrono24.com/images/uhren/39674828-2dlr549hskdaahg5p4oqxqdp-Zoom.jpg', 'https://img.chrono24.com/images/uhren/39674828-dbfshxe5kvt7f37fn9evubgb-Zoom.jpg', 'https://img.chrono24.com/images/uhren/39674828-ppyz2ikx5mb6knnvcan142mr-Zoom.jpg', 'https://img.chrono24.com/images/uhren/39674828-3t1qsnrpfsl20pyfj275je33-Zoom.jpg', 'https://img.chrono24.com/images/uhren/39674828-h2if9cqjkwx3q56797h1ejqf-Zoom.jpg']"
Rolex GMT-Master II,126710BLRO,Rolex,Con documentos originales,Con estuche original,21 900 € [Sujeto a negociación],GMT-Master II,"Usado (Muy bueno) El artículo presenta ligeras señales de uso, como unos leves arañazos, pero no son perceptibles.",2024,"['https://img.chrono24.com/images/uhren/37323017-8fv4871k73xw1sxg66rcd5r6-Zoom.jpg', 'https://img.chrono24.com/images/uhren/37323017-n6j02d3c4nhfxo6xgrhkb5mp-Zoom.jpg', 'https://img.chrono24.com/images/uhren/37323017-un7ky2pb47hpt2j0f0ddd8vh-Zoom.jpg', 'https://img.chrono24.com/images/uhren/hpvs6z5ivgu0-5beu4pkgmu8jg2gyxkr38hpc-Zoom.jpg', 'https://img.chrono24.com/images/uhren/37323017-kwllt2ruhftd16u16akzkjab-Zoom.jpg', 'https://img.chrono24.com/images/uhren/0ogx62cdyyg4-xegt53tygwna7i8fgzcklkxq-Zoom.jpg', 'https://img.chrono24.com/images/uhren/fuunz7re3g5f-zz2djfegupiy9222uzpev82f-Zoom.jpg']"
Rolex Datejust 36,Blue Dial,Rolex,Sin documentos originales,Sin estuche original,5200 €,Datejust 36,"Usado (Muy bueno) El artículo presenta ligeras señales de uso, como unos leves arañazos, pero no son perceptibles.",1998 (Año aproximado),"['https://img.chrono24.com/images/uhren/39364634-396xwbtxr39iuty1gke8iycs-Zoom.jpg', 'https://img.chrono24.com/images/uhren/39364634-zs8km8j18how584n8vr8bfzt-Zoom.jpg', 'https://img.chrono24.com/images/uhren/39364634-7lc6tfdl57snghr56djwwieu-Zoom.jpg', 'https://img.chrono24.com/images/uhren/39364634-dlxv68bg1di1mn9qcbton3u1-Zoom.jpg', 'https://img.chrono24.com/images/uhren/39364634-uf0ytzjc8vl04kz3c1bcmeib-Zoom.jpg', 'https://img.chrono24.com/images/uhren/39364634-8w589ve1gjvvd93qy8zjoimt-Zoom.jpg', 'https://img.chrono24.com/images/uhren/39364634-6rwwx33x00g6i5tno4bawpns-Zoom.jpg', 'https://img.chrono24.com/images/uhren/39364634-htzliv0gkoou58tcvhlvq0gn-Zoom.jpg', 'https://img.chrono24.com/images/uhren/39364634-ih5vhtu38kzk737bnlzpvh6t-Zoom.jpg', 'https://img.chrono24.com/images/uhren/39364634-ewt089cuhjigdrqxsdtxme73-Zoom.jpg', 'https://img.chrono24.com/images/uhren/39364634-0sj37go06f2zl466hzh62c7b-Zoom.jpg', 'https://img.chrono24.com/images/uhren/39364634-wpf4908n9w05on137drmqemr-Zoom.jpg']"
Rolex Oyster Perpetual Date,Gold/Steel vintage 1974,Rolex,Sin documentos originales,Sin estuche original,3595 €,Oyster Perpetual Date,"Usado (Bueno) El artículo presenta señales visibles y perceptibles de uso, como arañazos, rozaduras o pequeñas abolladuras.",1974,"['https://img.chrono24.com/images/uhren/37644846-hoewqnkamn2npu36tgxfpf1f-Zoom.jpg', 'https://img.chrono24.com/images/uhren/37644846-zg51hsb6fceznfl7yga11fr7-Zoom.jpg', 'https://img.chrono24.com/images/uhren/37644846-oa0eozgwm0p95y7sc1mohovk-Zoom.jpg', 'https://img.chrono24.com/images/uhren/37644846-5hszos3d5qw3xp6v2oiuy7qq-Zoom.jpg', 'https://img.chrono24.com/images/uhren/37644846-14dz4umm6vs24kvv1jaiwa43-Zoom.jpg', 'https://img.chrono24.com/images/uhren/37644846-grmrdm4d81zh8d5ptmv6quwn-Zoom.jpg', 'https://img.chrono24.com/images/uhren/37644846-grmrdm4d81zh8d5ptmv6quwn-Zoom.jpg', 'https://img.chrono24.com/images/uhren/37644846-grmrdm4d81zh8d5ptmv6quwn-Zoom.jpg', 'https://img.chrono24.com/images/uhren/37644846-6hs2g062eac0evju65z975xt-Zoom.jpg', 'https://img.chrono24.com/images/uhren/37644846-af32nhghqqx4qa1ds864hutz-Zoom.jpg', 'https://img.chrono24.com/images/uhren/37644846-vx2yxum31j5utlgdhl5xsmrn-Zoom.jpg', 'https://img.chrono24.com/images/uhren/37644846-vx2yxum31j5utlgdhl5xsmrn-Zoom.jpg', 'https://img.chrono24.com/images/uhren/37644846-p7zw4t8hr0q9yfnimwqwfuxs-Zoom.jpg']"
Rolex Submariner Date,16610,Rolex,Sin documentos originales,Sin estuche original,7850 €,Submariner Date,"Usado (Muy bueno) El artículo presenta ligeras señales de uso, como unos leves arañazos, pero no son perceptibles.",1990,"['https://img.chrono24.com/images/uhren/37722384-kbv6ambqksbdgkvrh8gv5nof-Zoom.jpg', 'https://img.chrono24.com/images/uhren/37722384-kbv6ambqksbdgkvrh8gv5nof-Zoom.jpg', 'https://img.chrono24.com/images/uhren/37722384-kbv6ambqksbdgkvrh8gv5nof-Zoom.jpg', 'https://img.chrono24.com/images/uhren/37722384-kbv6ambqksbdgkvrh8gv5nof-Zoom.jpg', 'https://img.chrono24.com/images/uhren/37722384-kbv6ambqksbdgkvrh8gv5nof-Zoom.jpg', 'https://img.chrono24.com/images/uhren/37722384-kbv6ambqksbdgkvrh8gv5nof-Zoom.jpg', 'https://img.chrono24.com/images/uhren/37722384-kbv6ambqksbdgkvrh8gv5nof-Zoom.jpg', 'https://img.chrono24.com/images/uhren/37722384-kbv6ambqksbdgkvrh8gv5nof-Zoom.jpg', 'https://img.chrono24.com/images/uhren/37722384-kbv6ambqksbdgkvrh8gv5nof-Zoom.jpg', 'https://img.chrono24.com/images/uhren/37722384-kbv6ambqksbdgkvrh8gv5nof-Zoom.jpg', 'https://img.chrono24.com/images/uhren/37722384-kbv6ambqksbdgkvrh8gv5nof-Zoom.jpg', 'https://img.chrono24.com/images/uhren/37722384-kbv6ambqksbdgkvrh8gv5nof-Zoom.jpg', 'https://img.chrono24.com/images/uhren/37722384-kbv6ambqksbdgkvrh8gv5nof-Zoom.jpg', 'https://img.chrono24.com/images/uhren/37722384-kbv6ambqksbdgkvrh8gv5nof-Zoom.jpg', 'https://img.chrono24.com/images/uhren/37722384-kbv6ambqksbdgkvrh8gv5nof-Zoom.jpg']"
Rolex Submariner Date,116610LV Date “Hulk” Full Set TOP Condition 2018’s,Rolex,Con documentos originales,Con estuche original,18 350 €,Submariner Date,"Usado (Muy bueno) El artículo presenta ligeras señales de uso, como unos leves arañazos, pero no son perceptibles.",2018,"['https://img.chrono24.com/images/uhren/39783541-cfjkg651spay6q4rpd7zvke1-Zoom.jpg', 'https://img.chrono24.com/images/uhren/39783541-faawrjpmuad3x9su0oq6gwvz-Zoom.jpg', 'https://img.chrono24.com/images/uhren/39783541-vu3ce38uiqavt9ls2tohnh37-Zoom.jpg', 'https://img.chrono24.com/images/uhren/39783541-ftmggy4jz0qvohc0ndu0q53z-Zoom.jpg', 'https://img.chrono24.com/images/uhren/39783541-ej391vmplifug89h1k8u3o77-Zoom.jpg', 'https://img.chrono24.com/images/uhren/39783541-v89efcd10vqm39y557d3uw7o-Zoom.jpg', 'https://img.chrono24.com/images/uhren/39783541-phq4p20dfoobv8osfamnwxym-Zoom.jpg', 'https://img.chrono24.com/images/uhren/39783541-4703d04v9je984pbn1c65vjf-Zoom.jpg', 'https://img.chrono24.com/images/uhren/39783541-zo2omzzi3ha7t7zd33zwyyyk-Zoom.jpg', 'https://img.chrono24.com/images/uhren/39783541-kl71jokcmujdgg06fvk5azg0-Zoom.jpg', 'https://img.chrono24.com/images/uhren/39783541-7n6xdgxqhvju69zmln9mots7-Zoom.jpg', 'https://img.chrono24.com/images/uhren/39783541-ljk41uimu12udlzleqjg8n6w-Zoom.jpg', 'https://img.chrono24.com/images/uhren/39783541-y56sj6cqoe3pxwzc8aye4pdg-Zoom.jpg', 'https://img.chrono24.com/images/uhren/39783541-pgd56nbvrdrxg2bakgbvlzes-Zoom.jpg', 'https://img.chrono24.com/images/uhren/39783541-ios1yace4ln5tkahhrr7jdj3-Zoom.jpg', 'https://img.chrono24.com/images/uhren/39783541-3t94uwxddqput2kt5b0eujmr-Zoom.jpg']"
