Header,Price,Artist,Dimensions,Specifications,Imgs
CAMPO CUÁNTICO 1,8000,Santiago Del Barco Martín,93 x 60 cm,"2025 • España • Acrílico en Madera , Madera","['https://www.singulart.com/images/artworks/v2/cropped/69219/main/zoom/2309100_cc445d647f6271e3579b0c2e61eaf556.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/69219/main/zoom/2309100_cc445d647f6271e3579b0c2e61eaf556.jpeg']"
Prisionera,5880,Pin Vega,37(L)x37(A)x32(P)cm,1992 • España,"['https://www.singulart.com/images/artworks/v2/cutout/12539/main/zoom/1918681_dd4b96c55e8ff6af168c7f20dccc8e5d.png', 'https://www.singulart.com/images/artworks/v2/cropped/12539/alts/zoom/alt_1918681_67bd50badfcabc14fdbc74a2fdfbbc22.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/12539/alts/zoom/alt_1918681_9c51a3e7aa33de46a51eea4bcd736ba5.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/12539/alts/zoom/alt_1918681_7c734faee59b6371ec96c848e2433eaa.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/12539/alts/zoom/alt_1918681_60d38ed9213c459c19a29503ea477734.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/12539/alts/zoom/alt_1918681_094f3e01f08f2bafcea5c997136c741b.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/12539/alts/zoom/alt_1918681_7e169836958e5b52d6cb7ddb394277d6.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/12539/alts/zoom/alt_1918681_b665e3939354ed7a43e2fc2418d8f9b7.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/12539/alts/zoom/alt_1918681_c3d4ab7c39dbec6bc4c4b9e65e5c4111.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/12539/alts/zoom/alt_1918681_ea560bd023b2189cb8d3dd4979d75eaf.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/12539/alts/zoom/alt_1918681_507d8e55a0a71c77d863c1a3c33e4117.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/12539/alts/zoom/alt_1918681_5a041846f85de776efc487c788b4cc97.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/12539/alts/zoom/alt_1918681_36dcc7dcaa4546539771e275b0f95aab.jpeg', 'https://www.singulart.com/images/artworks/v2/cutout/12539/main/zoom/1918681_dd4b96c55e8ff6af168c7f20dccc8e5d.png']"
Banksy update available (El Precio del Exito),5908,Michel Acosta Perez,92 x 83 cm,"2022 • España • Collage, Graffiti en Madera","['https://www.singulart.com/images/artworks/v2/cropped/9721/main/zoom/1751365_2eb45c56db67eec456e235ecbe035709.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/9721/alts/zoom/alt_1751365_93428bd4a2ab6cfc5352f7f20f8817d7.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/9721/alts/zoom/alt_1751365_740bf988e68e589df8d6987586ef9f9c.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/9721/alts/zoom/alt_1751365_4092134b1431247384b5b36cf532caa9.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/9721/alts/zoom/alt_1751365_c26b436a54fc88ace7525d36274991c2.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/9721/alts/zoom/alt_1751365_94b78432695cfe68d4d0d8a16df3b6f0.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/9721/alts/zoom/alt_1751365_f339d45d00b2e601bcd271a9de9e77fe.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/9721/alts/zoom/alt_1751365_ead97bdc2ff11fb749b96dd9db5e1cbd.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/9721/alts/zoom/alt_1751365_8bbd149816b1de35d974c31dcaa77f53.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/9721/alts/zoom/alt_1751365_3d5e3c505b692f22c3dc6c13aad6ae45.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/9721/main/zoom/1751365_2eb45c56db67eec456e235ecbe035709.jpeg']"
Orgasmo,5544,Juan Varela,100 x 75 cm,"1992 • España • Laca, Tierra en Lienzo","['https://www.singulart.com/images/artworks/v2/cropped/22355/main/zoom/767595_b069f10db8675736ac189d5f46c1ad8f.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/22355/main/zoom/767595_b069f10db8675736ac189d5f46c1ad8f.jpeg']"
Flor Cuántica,5698,Diego Ramos,118 x 78 cm,2022 • España • Acrílico en Lienzo,"['https://www.singulart.com/images/artworks/v2/cropped/59122/main/zoom/2036003_09b7f856412e2b5d15530fb4641231ef.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/59122/alts/zoom/alt_2036003_274c51196a4aa83f26e94ef8940dd3ad.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/59122/alts/zoom/alt_2036003_cf74c12d9d035c923499f2688d81a6d7.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/59122/alts/zoom/alt_2036003_df061056ddb7c84cf34086d50efded6f.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/59122/alts/zoom/alt_2036003_2ee46f530f9eb73fa56a01d8b5c1f6c4.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/59122/alts/zoom/alt_2036003_79a7d596b5515a9ba142af1d12bb2d49.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/59122/alts/zoom/alt_2036003_be9fb98df8b4012f2a530ac0203fcede.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/59122/alts/zoom/alt_2036003_aec268229cdce5a7e0f4b4bc408ae888.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/59122/alts/zoom/alt_2036003_349722f180997fb3a536390587ba6505.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/59122/alts/zoom/alt_2036003_661134f73fa89035d929a2bbbcc5f45c.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/59122/alts/zoom/alt_2036003_9ff76af9a7967369179f51df56411616.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/59122/alts/zoom/alt_2036003_a3444bc6b1920b7dd251c59fc4ac97a8.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/59122/alts/zoom/alt_2036003_12fe535d59b40777e604cbe7654cfc1a.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/59122/alts/zoom/alt_2036003_ff9718211106e8e81e6b7cbd7d77b65c.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/59122/alts/zoom/alt_2036003_a6b02be7479781ae6b61ba6e409c9301.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/59122/alts/zoom/alt_2036003_3d55ed045abe7b8989a8ee0b81dd1168.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/59122/alts/zoom/alt_2036003_d4d0677c36842a5880597d44d158d40c.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/59122/alts/zoom/alt_2036003_6d8acb1407041adfce86c3caf05d49a1.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/59122/alts/zoom/alt_2036003_e397cdbd96e66836ad6f5598bb4b2487.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/59122/alts/zoom/alt_2036003_4f7490848c7cf3eff16355d40a0cbc1e.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/59122/alts/zoom/alt_2036003_ec730910cc1cf6df0f1ced860e61ec0d.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/59122/alts/zoom/alt_2036003_38ced59df981e124efadb5a63bec681f.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/59122/alts/zoom/alt_2036003_04f73843a5de206f1b4a7ebadfaa8896.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/59122/alts/zoom/alt_2036003_89c6ef69c0b2a89a772872470dfbf528.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/59122/main/zoom/2036003_09b7f856412e2b5d15530fb4641231ef.jpeg']"
Diagram 9,9050,Malgorzata Krakowiak,120(L)x110(A)x3(P)cm,2009 • España,"['https://www.singulart.com/images/artworks/v2/cutout/10479/main/zoom/981489_6c3f7b3c3fcdbc297ef9fd3e5adc3055.png', 'https://www.singulart.com/images/artworks/v2/cropped/10479/alts/zoom/alt_981489_884ab05f22a22402631a1e5c6e9842cd.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/10479/alts/zoom/alt_981489_92898eae28e546829601a94917842835.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/10479/alts/zoom/alt_981489_1a96db7f181f5c098a17514b7ccedee3.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/10479/alts/zoom/alt_981489_316481b3340b9e7e7d3174697e6e532c.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/10479/alts/zoom/alt_981489_2952d320ab20fb3dd0cd82b57e002b09.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/10479/alts/zoom/alt_981489_672a0a8ec554ad77caf01063554bef73.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/10479/alts/zoom/alt_981489_f9198f5ee5911eefe7e16ed7fe3e7ba4.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/10479/alts/zoom/alt_981489_2f9954db5f8a4180e65eac78fbb33f33.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/10479/alts/zoom/alt_981489_65948964d4bf51ac73cd15fc1940a4b4.png', 'https://www.singulart.com/images/artworks/v2/cropped/10479/alts/zoom/alt_981489_133372c6705948672f1d3912104ef55d.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/10479/alts/zoom/alt_981489_96816f50ee362ed00a738ff39cfcd39c.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/10479/alts/zoom/alt_981489_9ea12799bb73782285d5a6fb8504b1ef.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/10479/alts/zoom/alt_981489_eafdf530f12568bc3d3b0b0fef827500.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/10479/alts/zoom/alt_981489_a2e1c2060ce1cc87203d1e500dd39172.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/10479/alts/zoom/alt_981489_31d152081930dcb7d4a448dad05ee5bd.jpeg', 'https://www.singulart.com/images/artworks/v2/cutout/10479/main/zoom/981489_6c3f7b3c3fcdbc297ef9fd3e5adc3055.png']"
el secreto de los amantes III,8918,Olalla Roca Castell,55(L)x68(A)x52(P)cm,2024 • España,"['https://www.singulart.com/images/artworks/v2/cutout/56906/main/zoom/2003275_8f8b0f17694305e4b0b98cc11bf2f725.png', 'https://www.singulart.com/images/artworks/v2/cropped/56906/alts/zoom/alt_2003275_936fb2b8109a5b366e165f6370b319c3.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/56906/alts/zoom/alt_2003275_d0cb2134f253e57edfa3226e7e150cb8.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/56906/alts/zoom/alt_2003275_33713297ad9d455cdb8f4741c38c3cb3.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/56906/alts/zoom/alt_2003275_e1c9a4c0b7dc3e151f3105be3b47349c.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/56906/alts/zoom/alt_2003275_de792710e82f8b29a742ce1571237198.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/56906/alts/zoom/alt_2003275_5204288ddfefa52b14b9177605b37d0a.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/56906/alts/zoom/alt_2003275_5f08cda23672319769536d9b6ff22ac0.png', 'https://www.singulart.com/images/artworks/v2/cropped/56906/alts/zoom/alt_2003275_5e1f78b5d480a74fc254d3ee99e9f7cb.png', 'https://www.singulart.com/images/artworks/v2/cropped/56906/alts/zoom/alt_2003275_00722c1d7e2f5289096311874bc8e4a9.png', 'https://www.singulart.com/images/artworks/v2/cropped/56906/alts/zoom/alt_2003275_bfee0030adb698045607ffd5ff11e6c8.png', 'https://www.singulart.com/images/artworks/v2/cropped/56906/alts/zoom/alt_2003275_a84e798cd4db121cc4ebb1e518d3cb42.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/56906/alts/zoom/alt_2003275_2764202cfd84cf5d907213606c34db55.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/56906/alts/zoom/alt_2003275_d24d51d8f53a69974ed3d1f8cceef904.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/56906/alts/zoom/alt_2003275_75f95b70d5423c8e3b457efc7685918e.jpeg', 'https://www.singulart.com/images/artworks/v2/cutout/56906/main/zoom/2003275_8f8b0f17694305e4b0b98cc11bf2f725.png']"
BETWEEN THE MOON AND SPRING,8460,Andrés Rueda,80 x 127 cm,2024 • España • Acrílico en Tela,"['https://www.singulart.com/images/artworks/v2/cropped/24539/main/zoom/1926154_18f951295164d798ffd699c0ed08bccd.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/24539/alts/zoom/alt_1926154_a9a3ede9671733a5dc8f338138a33aab.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/24539/alts/zoom/alt_1926154_565a8f4abea0abb5ef8fd0507896a2e8.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/24539/alts/zoom/alt_1926154_000a25a781c85d388283b3810f14ba5f.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/24539/alts/zoom/alt_1926154_fc37c011bf75b7f872fc91fc92d858c8.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/24539/alts/zoom/alt_1926154_9b903326701bef8cd2d376e4e39e4a7c.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/24539/alts/zoom/alt_1926154_e63c72b4a1d5f985f8f231b84bad238f.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/24539/alts/zoom/alt_1926154_afa5473f73db776333234bfde196ea04.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/24539/alts/zoom/alt_1926154_9f0c5bf6827c3cd9d391dd92fcc21a6a.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/24539/alts/zoom/alt_1926154_94577b10b00193e3c75862d23904d47b.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/24539/alts/zoom/alt_1926154_db7445e8bf48beddaefc5afb44da6f8f.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/24539/main/zoom/1926154_18f951295164d798ffd699c0ed08bccd.jpeg']"
Cabeza,40000,Santiago De la Quintana Jiménez,140(L)x250(A)x165(P)cm,2018 • España,"['https://www.singulart.com/images/artworks/v2/cutout/69054/main/zoom/2305887_f435b9321e5b89ecc6d447d478e8c594.png', 'https://www.singulart.com/images/artworks/v2/cropped/69054/alts/zoom/alt_2305887_795d3b35ef44cdc75b4e463dfc2c683c.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/69054/alts/zoom/alt_2305887_71a57414288eb47e2fb912ef8fd3c7a0.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/69054/alts/zoom/alt_2305887_ac8b3d0191295bccffe47268a5590e5f.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/69054/alts/zoom/alt_2305887_4eb3a993353fe435e49916b0a7429208.jpeg', 'https://www.singulart.com/images/artworks/v2/cutout/69054/main/zoom/2305887_f435b9321e5b89ecc6d447d478e8c594.png']"
Portal cálido,7840,Teo San Jose,20(L)x35(A)x20(P)cm,2019 • España,"['https://www.singulart.com/images/artworks/v2/cutout/12903/main/zoom/436625_ad09f5b9510edb32ebacd1ff5d9ded17.png', 'https://www.singulart.com/images/artworks/v2/cropped/12903/alts/zoom/alt_436625_8e551e3156e16bcc0e057ff0eac51a4d.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/12903/alts/zoom/alt_436625_b79f2bdb0d202409c8e95b69df8146cb.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/12903/alts/zoom/alt_436625_b26e1999cf1ad4e680e2b190fe183feb.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/12903/alts/zoom/alt_436625_e910b2c4be44db1e6968aecab1859251.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/12903/alts/zoom/alt_436625_bc69c98f3ca6b169c94f5b9b50745ec8.jpeg', 'https://www.singulart.com/images/artworks/v2/cropped/12903/alts/zoom/alt_436625_46146f1cffd16cc05ebdc29c0f585bab.jpeg', 'https://www.singulart.com/images/artworks/v2/cutout/12903/main/zoom/436625_ad09f5b9510edb32ebacd1ff5d9ded17.png']"
